id,date,username,tweets
1660649987884167169,2023-05-22 14:13:05+00:00,detikHealth,"Pada awal Mei ini, WHO resmi mencabut status kedaruratan COVID-19. Namun kini ditegaskannya, dunia belum benar-benar bebas dari ancaman virus Corona. Kenapa? https://t.co/w7b6si4bLY"
1660640428079628293,2023-05-22 13:35:05+00:00,Media Indonesia,"Pihak KSRelief menyambut baik ajakan Baznas untuk membantu program pengentasan kemiskinan, khususnya bidang pendidikan bagi anak yatim yang ditinggal orangtua mereka saat pandemi covid-19.  https://t.co/nm1ptsNlx5"
1660622810790912001,2023-05-22 12:25:05+00:00,Media Indonesia,Fokus dengan UMKM demi mendongkrak perputaran ekonomi lagi yang sempat lesu akibat pandemi covid-19.  https://t.co/WnRmUOAYsS
1660622542451752962,2023-05-22 12:24:01+00:00,Harian Kompas,"Kendati belum benar-benar pulih akibat tekanan pandemi Covid-19, industri perbukuan berpeluang bangkit melalui inovasi. Aspek konten, teknologi, dan komunitas pembaca penting untuk mengembangkan industri perbukuan. #Ekonomi #AdadiKompas

https://t.co/GWEXXEsOdK"
1660578417476091905,2023-05-22 09:28:41+00:00,detikHealth,Kasus COVID-19 di Indonesia pada Senin (22/5/2023) bertambah 424 kasus baru. Sementara kasus sembuh bertambah 965 dan kematian 9 jiwa. https://t.co/HRf4CtUrhl
1660550261847334912,2023-05-22 07:36:48+00:00,detikHealth,PM Singapura Lee Hsien Loong dinyatakan positif terinfeksi virus COVID-19 setelah baru-baru ini berkunjung ke Afrika Selatan dan Kenya.  https://t.co/rhUHAOkCBV
1660494462328672256,2023-05-22 03:55:04+00:00,Media Indonesia,"Eeng Saptahadi meninggal dunia usai terinfeksi covid-19. Aktor kawakan tersebut meninggal dunia Minggu (21/5) di Rumah Sakit Primaya, Bekasi. Berikut Profil Eeng Septahadi!  https://t.co/IyiRp8gyfn"
1660483135543574528,2023-05-22 03:10:04+00:00,Media Indonesia,"Terinfeksi Covid-19, Eeng Saptahadi Meninggal Dunia di Bekasi   https://t.co/6fPiEcrzaI"
1660457574309801986,2023-05-22 01:28:30+00:00,Harian Kompas,"Proses pembentukan harga baru sejumlah pangan pokok tengah terjadi di dalam negeri. Hal itu terjadi ketika sebagian besar masyarakat tengah memulihkan pendapatan akibat dampak pandemi Covid-19 dan kenaikan harga BBM. #Ekonomi #AdadiKompas

https://t.co/T5B53ls1Io"
1660447926479364100,2023-05-22 00:50:09+00:00,detikHealth,"Pemerintah Jepang telah mencabut sebagian besar aturan penanganan COVID-19. Di antaranya, dengan mencabut aturan wajib bukti vaksinasi COVID-19 bagi pendatang. https://t.co/GFNbUrTfXI"
